"rank"|"name"|"box"|"date"
1|"Avatar"|759.563|2009-12-18
2|"Titanic"|600.788|1997-12-19
3|"The Dark Knight"|533.184|2008-07-18
4|"Star Wars: Episode IV - A New Hope"|460.998|1977-05-25
5|"Shrek 2"|437.212|2004-05-19
6|"E.T. the Extra-Terrestrial"|434.975|1982-06-11
7|"Star Wars: Episode I - The Phantom Menace"|431.088|1999-05-19
8|"Pirates of the Caribbean: Dead Man's Chest"|423.416|2006-07-07
9|"Toy Story 3"|414.638|2010-06-18
10|"Spider-Man"|407.681|2002-05-03
11|"Transformers: Revenge of the Fallen"|402.077|2009-06-24
12|"Star Wars: Episode III - Revenge of the Sith"|380.271|2005-05-19
13|"The Lord of The Rings: The Return of The King"|377.019|2003-12-17
14|"Spider-Man 2"|373.378|2004-06-30
15|"The Passion of the Christ"|370.774|2004-02-25
16|"Jurassic Park"|357.068|1993-06-11
17|"The Lord of The Rings: The Two Towers"|341.748|2002-12-18
18|"Finding Nemo"|339.715|2003-05-30
19|"Spider-Man 3"|336.53|2007-05-04
20|"Alice in Wonderland"|333.92|2010-03-05
21|"Forrest Gump"|329.694|1994-07-04
22|"The Lion King"|328.538|1994-06-15
23|"Shrek the Third"|320.707|2007-05-18
24|"Transformers"|319.222|2007-07-03
25|"Iron Man"|318.298|2008-05-02
26|"Harry Potter and the Sorcerer's Stone"|317.576|2001-11-16
27|"Indiana Jones and the Kingdom of the Crystal Skull"|317.011|2008-05-22
28|"The Lord of the Rings: Fellowship of the Ring"|314.163|2001-12-19
29|"Iron Man 2"|312.057|2010-05-07
30|"Star Wars: Episode II - Attack of the Clones"|310.677|2002-05-16
31|"Pirates of the Caribbean: At World's End"|309.303|2007-05-27
32|"Star Wars: Episode VI - Return of the Jedi"|309.206|1983-05-25
33|"Independence Day"|306.169|1996-07-03
34|"Pirates of The Caribbean: The Curse of The Black Pearl"|305.411|2003-07-09
35|"Harry Potter and the Half-Blood Prince"|301.957|2009-07-15
36|"The Twilight Saga: Eclipse"|300.099|2010-06-30
37|"The Twilight Saga: New Moon"|293.815|2009-11-20
38|"The Sixth Sense"|293.506|1999-08-06
39|"Up"|292.913|2009-05-29
40|"Harry Potter and the Order of the Phoenix"|292.001|2007-07-11
41|"Inception"|291.833|2010-07-16
42|"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"|291.71|2005-12-09
43|"Star Wars: Episode V - The Empire Strikes Back"|290.272|1980-05-21
44|"Harry Potter and the Goblet of Fire"|290.013|2005-11-18
45|"Home Alone"|285.761|1990-11-16
46|"The Matrix Reloaded"|281.539|2003-05-15
47|"Meet the Fockers"|279.168|2004-12-22
48|"The Hangover"|277.313|2009-06-05
49|"Shrek"|267.665|2001-05-18
50|"Harry Potter and the Chamber of Secrets"|261.98|2002-11-15
51|"The Incredibles"|261.438|2004-11-05
52|"Dr. Seuss' How The Grinch Stole Christmas"|260.031|2000-11-17
53|"Jaws"|260|1975-06-20
54|"Star Trek"|257.704|2009-05-08
55|"I Am Legend"|256.386|2007-12-14
56|"The Blind Side"|255.945|2009-11-20
57|"Monsters Inc."|255.87|2001-11-02
58|"Batman"|251.19|1989-06-23
59|"Night at the Museum"|250.863|2006-12-22
60|"Men In Black"|250.157|1997-07-02
61|"Harry Potter and the Prisoner of Azkaban"|249.539|2004-06-04
62|"Despicable Me"|248.815|2010-07-09
63|"Toy Story 2"|245.852|1999-11-24
64|"Cars"|244.083|2006-06-09
65|"Bruce Almighty"|242.705|2003-05-23
66|"Raiders Of The Lost Ark"|242.374|1981-06-01
67|"Twister"|241.722|1996-05-10
68|"My Big Fat Greek Wedding"|241.438|2002-07-07
69|"Ghostbusters"|238.6|1984-06-08
70|"Shrek Forever After"|238.372|2010-05-21
71|"Beverly Hills Cop"|234.76|1984-12-05
72|"X-Men: The Last Stand"|234.362|2006-05-26
73|"War of the Worlds"|234.28|2005-06-29
74|"Cast Away"|233.63|2000-12-22
75|"The Exorcist"|232.671|2000-09-15
76|"The Lost World: Jurassic Park"|229.087|1997-05-23
77|"Hancock"|228.246|2008-07-02
78|"Signs"|227.966|2002-08-02
79|"The Bourne Ultimatum"|227.437|2007-08-03
80|"Rush Hour 2"|226.164|2001-08-03
81|"WALL-E"|223.807|2008-06-27
82|"Wall"|223.75|2005-08-26
83|"National Treasure: Book of Secrets"|219.962|2007-12-21
84|"Alvin and The Chipmunks: The Squeakuel"|219.607|2009-12-23
85|"Mrs. Doubtfire"|219.195|1993-11-24
86|"King Kong"|218.051|2005-12-14
87|"The Da Vinci Code"|217.65|2006-05-19
88|"Ghost"|217.631|1990-07-13
89|"How to Train Your Dragon"|217.388|2010-03-26
